seat_config,class_size,ρ,λ₀,δλ,m,ttl
traditional,32,0.1,0.5,0.0,0.7426 ± 0.0099,120.8 ± 3.9
traditional,32,0.1,0.5,0.1,0.7142 ± 0.0095,132.6 ± 3.0
traditional,32,0.1,0.5,0.2,0.6204 ± 0.009,168.7 ± 4.3
traditional,32,0.1,0.5,0.3,0.5217 ± 0.0081,222.7 ± 6.4
traditional,32,0.1,0.5,0.4,0.385 ± 0.0064,377.0 ± 13.0
traditional,32,0.1,0.5,0.45,0.2577 ± 0.0024,1115.0 ± 40.0
traditional,32,0.1,0.5,0.49,0.1764 ± 0.0022,3572.0 ± 74.0
traditional,32,0.2,0.5,0.0,0.776 ± 0.01,67.1 ± 1.8
traditional,32,0.2,0.5,0.1,0.719 ± 0.015,76.7 ± 2.6
traditional,32,0.2,0.5,0.2,0.6189 ± 0.0099,96.8 ± 2.4
traditional,32,0.2,0.5,0.3,0.5002 ± 0.0092,136.8 ± 5.0
traditional,32,0.2,0.5,0.4,0.3684 ± 0.0038,227.0 ± 6.2
traditional,32,0.2,0.5,0.45,0.2526 ± 0.0024,652.0 ± 23.0
traditional,32,0.2,0.5,0.49,0.1864 ± 0.0023,2319.0 ± 55.0
traditional,32,0.3,0.5,0.0,0.821 ± 0.014,46.8 ± 1.2
traditional,32,0.3,0.5,0.1,0.754 ± 0.014,52.2 ± 1.5
traditional,32,0.3,0.5,0.2,0.615 ± 0.011,72.2 ± 2.0
traditional,32,0.3,0.5,0.3,0.4965 ± 0.0093,100.2 ± 2.9
traditional,32,0.3,0.5,0.4,0.3611 ± 0.0045,169.0 ± 4.0
traditional,32,0.3,0.5,0.45,0.253 ± 0.0029,448.0 ± 17.0
traditional,32,0.3,0.5,0.49,0.1901 ± 0.0019,1621.0 ± 45.0
traditional,32,0.4,0.5,0.0,0.867 ± 0.018,35.45 ± 0.94
traditional,32,0.4,0.5,0.1,0.799 ± 0.013,39.3 ± 1.1
traditional,32,0.4,0.5,0.2,0.656 ± 0.012,52.3 ± 1.6
traditional,32,0.4,0.5,0.3,0.504 ± 0.0063,75.1 ± 1.7
traditional,32,0.4,0.5,0.4,0.3586 ± 0.0044,136.1 ± 3.7
traditional,32,0.4,0.5,0.45,0.2619 ± 0.0028,323.0 ± 13.0
traditional,32,0.4,0.5,0.49,0.1913 ± 0.0024,1411.0 ± 32.0
traditional,32,0.5,0.5,0.0,0.938 ± 0.021,27.5 ± 1.2
traditional,32,0.5,0.5,0.1,0.848 ± 0.019,32.45 ± 0.98
traditional,32,0.5,0.5,0.2,0.712 ± 0.021,40.6 ± 1.8
traditional,32,0.5,0.5,0.3,0.526 ± 0.011,60.4 ± 2.3
traditional,32,0.5,0.5,0.4,0.3641 ± 0.0037,116.5 ± 2.8
traditional,32,0.5,0.5,0.45,0.2609 ± 0.0023,267.6 ± 8.2
traditional,32,0.5,0.5,0.49,0.1922 ± 0.0024,1149.0 ± 29.0
traditional,32,0.6,0.5,0.0,1.059 ± 0.029,22.05 ± 0.84
traditional,32,0.6,0.5,0.1,0.956 ± 0.015,24.75 ± 0.46
traditional,32,0.6,0.5,0.2,0.684 ± 0.02,38.0 ± 1.7
traditional,32,0.6,0.5,0.3,0.5304 ± 0.0082,52.4 ± 1.3
